Selected,Country,mds-x,mds-y,Selected (1),Selected (2),Continent ,Cluster,Silhouette,Continent ,Exp1952,Exp1957,Exp1962,Exp1967,Exp1972,Exp1977,Exp1982,Exp1987,Exp1992,Exp1997,Exp2002,Exp2007,GDP1952,GDP1957,GDP1962,GDP1967,GDP1972,GDP1977,GDP1982,GDP1987,GDP1992,GDP1997,GDP2002,GDP2007
No,Afghanistan,4.96557,1.69163,No,No,Asia,C3,0.628923,Asia,29,30,32,34,36,38,40,41,42,42,42,44,779,821,853,836,740,786,978,852,649,635,727,975
No,Albania,-0.558268,-2.37713,No,No,Europe,C4,0.560436,Europe,55,59,65,66,68,69,70,72,72,73,76,76,1601,1942,2313,2760,3313,3533,3631,3739,2497,3193,4604,5937
No,Algeria,0.641699,-0.438176,No,No,Africa,C1,0.586503,Africa,43,46,48,51,55,58,61,66,68,69,71,72,2449,3014,2551,3247,4183,4910,5745,5681,5023,4797,5288,6223
No,Angola,3.84924,2.88886,No,No,Africa,C3,0.618087,Africa,30,32,34,36,38,39,40,40,41,41,41,43,3521,3828,4269,5523,5473,3009,2757,2430,2628,2277,2773,4797
No,Argentina,-2.1905,-0.251664,No,No,Americas,C4,0.622494,Americas,62,64,65,66,67,68,70,71,72,73,74,75,5911,6857,7133,8053,9443,10079,8998,9140,9308,10967,8798,12779
No,Australia,-5.51961,1.47104,No,No,Oceania,C2,0.601638,Oceania,69,70,71,71,72,73,75,76,78,79,80,81,10040,10950,12217,14526,16789,18334,19477,21889,23425,26998,30688,34435
No,Austria,-5.37549,0.651809,No,No,Europe,C2,0.543535,Europe,67,67,70,70,71,72,73,75,76,78,79,80,6137,8843,10751,12835,16662,19749,21597,23688,27042,29096,32418,36126
No,Bahrain,-3.84887,2.49902,No,No,Asia,C2,0.538227,Asia,51,54,57,60,63,66,69,71,73,74,75,76,9867,11636,12753,14805,18269,19340,19211,18524,19036,20292,23404,29796
No,Bangladesh,3.1016,-0.641057,No,No,Asia,C5,0.585497,Asia,37,39,41,43,45,47,50,53,56,59,62,64,684,662,686,721,630,660,677,752,838,973,1136,1391
No,Belgium,-5.34716,0.91678,No,No,Europe,C2,0.589205,Europe,68,69,70,71,71,73,74,75,76,78,78,79,8343,9715,10991,13149,16672,19118,20980,22526,25576,27561,30486,33693
No,Benin,3.00086,0.341983,No,No,Africa,C5,0.531124,Africa,38,40,43,45,47,49,51,52,54,55,54,57,1063,960,949,1036,1086,1029,1278,1226,1191,1233,1373,1441
No,Bolivia,1.85165,0.0708145,No,No,Americas,C5,0.588278,Americas,40,42,43,45,47,50,54,57,60,62,64,66,2677,2128,2181,2587,2980,3548,3157,2754,2962,3326,3413,3822
No,Bosnia and Herzegovina,-0.426605,-2.32334,No,No,Europe,C4,0.540453,Europe,54,58,62,65,67,70,71,71,72,73,74,75,974,1354,1710,2172,2860,3528,4127,4314,2547,4766,6019,7446
No,Botswana,1.21256,1.13235,No,No,Africa,C5,0.561434,Africa,48,50,52,53,56,59,61,64,63,53,47,51,851,918,984,1215,2264,3215,4551,6206,7954,8647,11004,12570
No,Brazil,-0.190928,-0.615742,No,No,Americas,C1,0.551101,Americas,51,53,56,58,60,61,63,65,67,69,71,72,2109,2487,3337,3430,4986,6660,7031,7807,6950,7958,8131,9066
No,Bulgaria,-1.66278,-1.66447,No,No,Europe,C4,0.640187,Europe,60,67,70,70,71,71,71,71,71,70,72,73,2444,3009,4254,5577,6597,7612,8224,8240,6303,5970,7697,10681
No,Burkina Faso,3.72892,0.674744,No,No,Africa,C3,0.622632,Africa,32,35,38,41,44,46,48,50,50,50,51,52,543,617,723,795,855,743,807,912,932,946,1038,1217
No,Burundi,3.7876,1.01343,No,No,Africa,C3,0.64056,Africa,39,41,42,44,44,46,47,48,45,45,47,50,339,380,355,413,464,556,560,622,632,463,446,430
No,Cambodia,3.66328,-0.768729,No,No,Asia,C5,0.519913,Asia,39,41,43,45,40,31,51,54,56,57,57,60,368,434,497,523,422,525,624,684,682,734,896,1714
No,Cameroon,2.87437,0.770482,No,No,Africa,C5,0.504127,Africa,39,40,43,45,47,49,53,55,54,52,50,50,1173,1313,1400,1508,1684,1783,2368,2603,1793,1694,1934,2042
No,Canada,-6.21393,1.96267,No,No,Americas,C2,0.633017,Americas,69,70,71,72,73,74,76,77,78,79,80,81,11367,12490,13462,16077,18971,22091,22899,26627,26343,28955,33329,36319
No,Central African Republic,3.76287,1.24708,No,No,Africa,C3,0.640893,Africa,35,37,39,41,43,47,48,50,49,46,43,45,1071,1191,1193,1136,1070,1109,957,845,748,741,739,706
No,Chad,3.23907,0.686399,No,No,Africa,C3,0.557127,Africa,38,40,42,44,46,47,50,51,52,52,51,51,1179,1308,1390,1197,1104,1134,798,952,1058,1005,1156,1704
No,Chile,-1.20543,-1.2799,No,No,Americas,C4,0.591072,Americas,55,56,58,61,63,67,71,72,74,76,78,79,3940,4316,4519,5107,5494,4757,5096,5547,7596,10118,10779,13172
No,China,1.0581,-2.13279,No,No,Asia,C1,0.574888,Asia,44,51,45,58,63,64,66,67,69,70,72,73,400,576,488,613,677,741,962,1379,1656,2289,3119,4959
No,Colombia,-0.116457,-1.25548,No,No,Americas,C1,0.533246,Americas,51,55,58,60,62,64,67,68,68,70,72,73,2144,2324,2492,2679,3265,3816,4398,4903,5445,6117,5755,7007
No,Comoros,2.42565,-0.281587,No,No,Africa,C5,0.624674,Africa,41,42,44,46,49,51,53,55,58,61,63,65,1103,1211,1407,1876,1938,1173,1267,1316,1247,1174,1076,986
No,"Congo, Dem. Rep.",3.66081,1.32904,No,No,Africa,C3,0.636873,Africa,39,41,42,44,46,48,48,47,46,43,45,46,781,906,896,862,905,796,674,673,458,312,241,278
No,"Congo, Rep.",1.8217,0.693942,No,No,Africa,C5,0.603847,Africa,42,45,48,52,55,56,57,57,56,53,53,55,2126,2315,2465,2678,3213,3259,4880,4201,4016,3484,3484,3633
No,Costa Rica,-1.31108,-2.03488,No,No,Americas,C4,0.61568,Americas,57,60,63,65,68,71,73,75,76,77,78,79,2627,2990,3461,4162,5118,5927,5263,5630,6160,6677,7723,9645
No,Cote d'Ivoire,2.72374,1.07101,No,No,Africa,C5,0.497548,Africa,40,42,45,47,50,52,54,55,52,48,47,48,1389,1501,1729,2052,2378,2518,2603,2157,1648,1786,1649,1545
No,Croatia,-2.3755,-0.76655,No,No,Europe,C4,0.603716,Europe,61,65,67,69,70,71,70,72,73,74,75,76,3119,4338,5478,6960,9164,11305,13222,13823,8448,9876,11628,14619
No,Cuba,-1.87838,-1.90224,No,No,Americas,C4,0.638062,Americas,59,62,65,68,71,73,74,74,74,76,77,78,5587,6092,5181,5690,5305,6380,7317,7533,5593,5432,6341,8948
No,Czech Republic,-3.71683,0.569246,No,No,Europe,C6,0.581514,Europe,67,69,70,70,70,71,71,72,72,74,76,76,6876,8256,10137,11399,13108,14800,15377,16310,14297,16049,17596,22833
No,Denmark,-6.00387,1.45265,No,No,Europe,C2,0.638932,Europe,71,72,72,73,73,75,75,75,75,76,77,78,9692,11100,13583,15937,18866,20423,21688,25116,26407,29804,32167,35278
No,Djibouti,2.84609,1.19547,No,No,Africa,C3,0.533576,Africa,35,37,40,42,44,47,49,50,52,53,53,55,2670,2865,3021,3020,3694,3082,2879,2880,2377,1895,1908,2082
No,Dominican Republic,0.602183,-1.41756,No,No,Americas,C1,0.603256,Americas,46,50,53,57,60,62,64,66,68,70,71,72,1398,1544,1662,1654,2190,2682,2861,2900,3044,3614,4564,6025
No,Ecuador,-0.364068,-0.533973,No,No,Americas,C1,0.539413,Americas,48,51,55,57,59,61,64,67,70,72,74,75,3522,3781,4086,4579,5281,6680,7214,6482,7104,7429,5773,6873
No,Egypt,1.51542,-0.558383,No,No,Africa,C1,0.467923,Africa,42,44,47,49,51,53,56,60,64,67,70,71,1419,1459,1693,1815,2024,2785,3504,3885,3795,4173,4755,5581
No,El Salvador,0.356625,-0.36879,No,No,Americas,C1,0.603307,Americas,45,49,52,56,58,57,57,63,67,70,71,72,3048,3422,3777,4359,4520,5139,4098,4140,4444,5155,5352,5728
No,Equatorial Guinea,3.77705,1.45189,No,No,Africa,C3,0.63102,Africa,34,36,37,39,41,42,44,46,48,48,49,52,376,426,583,916,672,959,928,967,1132,2814,7703,12154
No,Eritrea,3.7498,0.348844,No,No,Africa,C3,0.596986,Africa,36,38,40,42,44,45,44,46,50,53,55,58,329,344,381,469,514,506,525,521,583,913,765,641
No,Ethiopia,3.86435,0.708308,No,No,Africa,C3,0.641432,Africa,34,37,40,42,44,45,45,47,48,49,51,53,362,379,419,516,566,557,578,574,421,516,530,691
No,Finland,-4.61802,0.326521,No,No,Europe,C6,0.581239,Europe,67,67,69,70,71,73,75,75,76,77,78,79,6425,7545,9372,10922,14359,15605,18533,21141,20647,23724,28205,33207
No,France,-5.1962,0.523725,No,No,Europe,C2,0.521682,Europe,67,69,71,72,72,74,75,76,77,79,80,81,7030,8663,10560,13000,16107,18293,20294,22066,24704,25890,28926,30470
No,Gabon,0.0494516,2.77414,No,No,Africa,C1,0.517533,Africa,37,39,40,45,49,53,57,60,61,60,57,57,4293,4976,6631,8359,11402,21746,15113,11864,13522,14723,12522,13206
No,Gambia,4.08696,0.0308011,No,No,Africa,C3,0.575293,Africa,30,32,34,36,38,42,46,49,53,56,58,59,485,521,600,735,756,885,836,612,666,654,661,753
No,Germany,-5.55107,1.12263,No,No,Europe,C2,0.609898,Europe,68,69,70,71,71,73,74,75,76,77,79,79,7144,10188,12902,14746,18016,20513,22032,24639,26505,27789,30036,32170
No,Ghana,2.44103,-0.122224,No,No,Africa,C5,0.625895,Africa,43,45,46,48,50,52,54,56,58,59,58,60,911,1044,1190,1126,1178,993,876,847,925,1005,1112,1328
No,Greece,-3.82587,-0.698041,No,No,Europe,C6,0.640884,Europe,66,68,70,71,72,74,75,77,77,78,78,79,3531,4916,6017,8513,12725,14196,15268,16121,17541,18748,22514,27538
No,Guatemala,0.988941,-0.21895,No,No,Americas,C1,0.543654,Americas,42,44,47,50,54,56,58,61,63,66,69,70,2428,2617,2750,3243,4031,4880,4820,4246,4439,4684,4858,5186
No,Guinea,4.14691,0.518564,No,No,Africa,C3,0.634289,Africa,34,35,36,37,39,41,43,46,49,51,54,56,510,576,686,709,742,875,857,806,794,869,946,943
No,Guinea-Bissau,4.79024,1.37153,No,No,Africa,C3,0.654797,Africa,33,33,34,35,36,37,39,41,43,45,46,46,300,432,522,716,820,765,838,736,746,797,576,579
No,Haiti,2.51029,0.270578,No,No,Americas,C5,0.586082,Americas,38,41,44,46,48,50,51,54,55,57,58,61,1840,1727,1797,1452,1654,1874,2011,1823,1456,1342,1270,1202
No,Honduras,1.08106,-0.746948,No,No,Americas,C1,0.554486,Americas,42,45,48,51,54,57,61,64,66,68,69,70,2195,2220,2291,2538,2530,3203,3122,3023,3082,3160,3100,3548
No,"Hong Kong, China",-4.22653,-1.74164,No,No,Asia,C6,0.642631,Asia,61,65,68,70,72,74,75,76,78,80,81,82,3054,3629,4693,6198,8316,11186,14561,20038,24758,28378,30209,39725
No,Hungary,-2.69514,-0.024264,No,No,Europe,C4,0.544852,Europe,64,66,68,70,70,70,69,70,69,71,73,73,5264,6040,7550,9327,10169,11675,12546,12986,10536,11713,14844,18009
No,Iceland,-5.9086,0.385097,No,No,Europe,C2,0.569858,Europe,72,73,74,74,74,76,77,77,79,79,81,82,7268,9244,10350,13320,15798,19655,23270,26923,25144,28061,31163,36181
No,India,2.39605,-0.957844,No,No,Asia,C5,0.620188,Asia,37,40,44,47,51,54,57,59,60,62,63,65,547,590,658,701,724,813,856,977,1164,1459,1747,2452
No,Indonesia,2.15733,-1.26606,No,No,Asia,C5,0.569901,Asia,37,40,43,46,49,53,56,60,63,66,69,71,750,859,849,762,1111,1383,1517,1748,2383,3119,2874,3541
No,Iran,-0.0867133,0.477202,No,No,Asia,C1,0.587464,Asia,45,47,49,52,55,58,60,63,66,68,69,71,3035,3290,4187,5907,9614,11889,7608,6643,7236,8264,9241,11606
No,Iraq,-0.235392,1.74365,No,No,Asia,C1,0.536925,Asia,45,48,51,54,57,60,62,65,59,59,57,60,4130,6229,8342,8931,9576,14688,14518,11644,3746,3076,4391,4471
No,Ireland,-4.18582,-0.904676,No,No,Europe,C6,0.641844,Europe,67,69,70,71,71,72,73,74,75,76,78,79,5210,5599,6632,7656,9531,11151,12618,13873,17559,24522,34077,40676
No,Israel,-3.86199,-0.553143,No,No,Asia,C6,0.634688,Asia,65,68,69,71,72,73,74,76,77,78,80,81,4087,5385,7106,8394,12787,13307,15367,17122,18052,20897,21906,25523
No,Italy,-4.41431,-0.197901,No,No,Europe,C6,0.646199,Europe,66,68,69,71,72,73,75,76,77,79,80,81,4931,6249,8244,10022,12269,14256,16537,19207,22014,24675,27968,28570
No,Jamaica,-1.50091,-1.39712,No,No,Americas,C4,0.637191,Americas,59,63,66,68,69,70,71,72,72,72,72,73,2899,4757,5246,6125,7434,6650,6068,6351,7405,7122,6995,7321
No,Japan,-4.91638,-0.981686,No,No,Asia,C6,0.624152,Asia,63,66,69,71,73,75,77,79,79,81,82,83,3217,4318,6577,9848,14779,16610,19384,22376,26825,28817,28605,31656
No,Jordan,0.88179,-1.33269,No,No,Asia,C1,0.597021,Asia,43,46,48,52,57,61,64,66,68,70,71,73,1547,1886,2348,2742,2111,2852,4161,4449,3432,3645,3845,4519
No,Kenya,2.30359,0.13166,No,No,Africa,C5,0.613385,Africa,42,45,48,51,54,56,59,59,59,54,51,54,854,944,897,1057,1222,1268,1348,1362,1342,1360,1288,1463
No,"Korea, Dem. Rep.",0.34886,-1.94488,No,No,Asia,C1,0.560998,Asia,50,54,57,60,64,67,69,71,70,68,67,67,1088,1571,1622,2144,3702,4106,4107,4106,3726,1691,1647,1593
No,"Korea, Rep.",-0.793573,-2.23437,No,No,Asia,C1,0.501121,Asia,47,53,55,58,63,65,67,70,72,75,77,79,1031,1488,1536,2029,3031,4657,5623,8533,12104,15994,19234,23348
No,Lebanon,-1.27843,-0.231423,No,No,Asia,C4,0.589458,Asia,56,59,62,64,65,66,67,68,69,70,71,72,4835,6090,5715,6007,7486,8660,7641,5377,6891,8755,9314,10461
No,Lesotho,3.11169,-0.074256,No,No,Africa,C5,0.553661,Africa,42,45,48,48,50,52,55,57,60,56,45,43,299,336,412,499,497,745,797,774,977,1186,1275,1569
No,Liberia,4.09301,1.41379,No,No,Africa,C3,0.657428,Africa,38,39,41,42,43,44,45,46,41,42,44,46,576,621,634,714,803,640,572,506,637,609,531,415
No,Libya,-1.4114,2.93979,No,No,Africa,C1,0.502669,Africa,43,45,48,50,53,57,62,66,69,72,73,74,2388,3448,6757,18773,21011,21951,17364,11771,9640,9467,9535,12057
No,Madagascar,3.15073,0.396121,No,No,Africa,C5,0.480836,Africa,37,39,41,43,45,47,49,49,52,55,57,59,1443,1589,1643,1634,1749,1544,1303,1155,1041,986,895,1045
No,Malawi,4.0453,0.991786,No,No,Africa,C3,0.655988,Africa,36,37,38,39,42,44,46,47,49,47,45,48,369,416,428,496,585,663,633,636,563,692,665,759
No,Malaysia,-0.194309,-1.58461,No,No,Asia,C1,0.546536,Asia,48,52,56,59,63,65,68,70,71,72,73,74,1831,1810,2037,2278,2849,3828,4920,5250,7278,10133,10207,12452
No,Mali,4.11725,0.658694,No,No,Africa,C3,0.647018,Africa,34,35,37,38,40,42,44,46,48,50,52,54,452,490,496,545,581,686,618,684,739,790,951,1043
No,Mauritania,2.47298,-0.272787,No,No,Africa,C5,0.62647,Africa,41,42,44,46,48,51,54,56,58,60,62,64,743,846,1056,1421,1587,1497,1481,1422,1361,1483,1579,1803
No,Mauritius,-0.26615,-1.46231,No,No,Africa,C1,0.503722,Africa,51,58,60,62,63,65,67,69,70,71,72,73,1968,2034,2529,2475,2575,3711,3688,4784,6058,7426,9022,10957
No,Mexico,-1.09929,-0.542331,No,No,Americas,C4,0.57051,Americas,51,55,58,60,62,65,67,69,71,74,75,76,3478,4132,4582,5755,6809,7675,9611,8688,9472,9767,10742,11978
No,Mongolia,1.85931,-1.00468,No,No,Asia,C5,0.566717,Asia,42,45,48,51,54,55,57,60,61,64,65,67,787,913,1056,1226,1422,1648,2001,2338,1785,1902,2141,3096
No,Montenegro,-1.95513,-1.36749,No,No,Europe,C4,0.64096,Europe,59,61,64,67,71,73,74,75,75,75,74,75,2648,3682,4650,5908,7778,9596,11223,11733,7003,6466,6557,9254
No,Morocco,1.37761,-0.860235,No,No,Africa,C1,0.507554,Africa,43,45,48,50,53,56,60,63,65,68,70,71,1688,1642,1566,1711,1930,2371,2703,2755,2948,2982,3258,3820
No,Mozambique,4.52711,1.31935,No,No,Africa,C3,0.660193,Africa,31,34,36,38,40,42,43,43,44,46,44,42,469,496,557,567,725,502,462,390,411,472,634,824
No,Myanmar,2.52997,-0.994193,No,No,Asia,C5,0.626696,Asia,36,42,45,49,53,56,58,58,59,60,60,62,331,350,388,349,357,371,424,385,347,415,611,944
No,Namibia,1.52898,0.659406,No,No,Africa,C5,0.59517,Africa,42,45,48,51,54,56,59,61,62,59,51,53,2424,2621,3173,3794,3746,3876,4191,3694,3805,3900,4072,4811
No,Nepal,3.23216,-0.628929,No,No,Asia,C5,0.573024,Asia,36,38,39,41,44,47,50,53,56,59,61,64,546,598,652,676,675,694,718,776,898,1011,1057,1091
No,Netherlands,-6.16911,1.11424,No,No,Europe,C2,0.633361,Europe,72,73,73,74,74,75,76,77,77,78,79,80,8942,11276,12791,15363,18795,21209,21399,23651,26791,30246,33725,36798
No,New Zealand,-4.91042,1.78918,No,No,Oceania,C2,0.565809,Oceania,69,70,71,72,72,72,74,74,76,78,79,80,10557,12247,13176,14464,16046,16234,17632,19007,18363,21050,23190,25185
No,Nicaragua,0.736948,-0.273618,No,No,Americas,C1,0.575058,Americas,42,45,49,52,55,57,59,62,66,68,71,73,3112,3457,3634,4643,4689,5486,3470,2956,2170,2253,2475,2749
No,Niger,3.94969,0.553236,No,No,Africa,C3,0.629569,Africa,37,39,39,40,41,41,43,45,47,51,54,57,762,836,998,1054,954,809,910,668,581,580,601,620
No,Nigeria,3.73442,1.18721,No,No,Africa,C3,0.65426,Africa,36,38,39,41,43,45,46,47,47,47,47,47,1077,1101,1151,1015,1698,1982,1577,1385,1620,1625,1615,2014
No,Norway,-7.31557,1.76482,No,No,Europe,C2,0.614259,Europe,73,73,73,74,74,75,76,76,77,78,79,80,10095,11654,13450,16362,18965,23311,26299,31541,33966,41283,44684,49357
No,Oman,-0.943371,1.98368,No,No,Asia,C1,0.542682,Asia,38,40,43,47,52,57,63,68,71,72,74,76,1828,2243,2925,4721,10618,11848,12955,18115,18617,19702,19775,22316
No,Pakistan,2.05492,-0.918739,No,No,Asia,C5,0.598046,Asia,43,46,48,50,52,54,56,58,61,62,64,65,685,747,803,942,1050,1176,1443,1705,1972,2049,2093,2606
No,Panama,-1.05052,-1.49106,No,No,Americas,C4,0.603105,Americas,55,59,62,64,66,69,70,72,72,74,75,76,2480,2962,3537,4421,5364,5352,7010,7035,6619,7114,7356,9809
No,Paraguay,-0.303484,-2.15339,No,No,Americas,C4,0.538742,Americas,63,63,64,65,66,66,67,67,68,69,71,72,1952,2046,2148,2299,2523,3248,4259,3999,4196,4247,3784,4173
No,Peru,0.208111,0.105933,No,No,Americas,C1,0.598124,Americas,44,46,49,51,55,58,61,64,66,68,70,71,3759,4245,4957,5788,5938,6281,6435,6361,4446,5838,5909,7409
No,Philippines,0.943304,-1.5466,No,No,Asia,C1,0.583224,Asia,48,51,55,56,58,60,62,64,66,69,70,72,1273,1548,1650,1814,1989,2373,2603,2190,2279,2537,2651,3190
No,Poland,-2.19535,-1.01304,No,No,Europe,C4,0.631177,Europe,61,66,68,70,71,71,71,71,71,73,75,76,4029,4734,5339,6557,8007,9508,8452,9082,7739,10160,12002,15390
No,Portugal,-2.73323,-0.888254,No,No,Europe,C4,0.488699,Europe,60,62,64,67,69,70,73,74,75,76,77,78,3068,3775,4728,6362,9022,10172,11754,13039,16207,17641,19971,20510
No,Puerto Rico,-2.94664,-1.39954,No,No,Americas,C4,0.511771,Americas,64,69,70,71,72,73,74,75,74,75,78,79,3082,3907,5108,6929,9123,9771,10331,12281,14642,16999,18856,19329
No,Reunion,-0.636452,-1.5437,No,No,Africa,C4,0.529109,Africa,53,55,58,61,64,67,70,72,74,75,76,76,2719,2769,3174,4021,5048,4320,5267,5303,6101,6072,6316,7670
No,Romania,-1.70566,-0.859512,No,No,Europe,C4,0.642814,Europe,61,64,67,67,69,69,70,70,69,70,71,72,3145,3943,4735,6471,8011,9356,9605,9696,6598,7347,7885,10808
No,Rwanda,4.19631,2.42768,No,No,Africa,C3,0.618129,Africa,40,42,43,44,45,45,46,44,24,36,43,46,493,540,597,511,591,670,882,848,737,590,786,863
No,Sao Tome and Principe,1.58197,-0.977572,No,No,Africa,C5,0.534394,Africa,46,49,52,54,56,59,60,62,63,63,64,66,880,861,1072,1385,1533,1738,1890,1517,1429,1339,1353,1598
No,Saudi Arabia,-3.22116,4.51062,No,No,Asia,C2,0.524137,Asia,40,43,46,50,54,59,63,66,69,71,72,73,6460,8158,11626,16903,24837,34168,33693,21198,24842,20587,19015,21655
No,Senegal,2.67025,-0.111634,No,No,Africa,C5,0.604338,Africa,37,39,41,44,46,49,52,56,58,60,62,63,1450,1568,1655,1612,1598,1562,1518,1442,1368,1392,1520,1712
No,Serbia,-2.24143,-0.0483306,No,No,Europe,C4,0.600799,Europe,58,62,65,67,69,70,70,71,72,72,73,74,3581,4981,6290,7992,10522,12981,15181,15871,9325,7914,7236,9787
No,Sierra Leone,4.90672,2.03942,No,No,Africa,C3,0.647372,Africa,30,32,33,34,35,37,38,40,38,40,41,43,880,1004,1117,1206,1354,1348,1465,1294,1069,575,699,863
No,Singapore,-4.19843,-2.24136,No,No,Asia,C6,0.625216,Asia,60,63,66,68,70,71,72,74,76,77,79,80,2315,2843,3675,4977,8598,11210,15169,18862,24770,33519,36023,47143
No,Slovak Republic,-2.74569,-0.342819,No,No,Europe,C4,0.557142,Europe,64,67,70,71,70,70,71,71,71,73,74,75,5075,6093,7481,8413,9674,10923,11349,12037,9498,12126,13639,18678
No,Slovenia,-3.60808,-0.00471554,No,No,Europe,C6,0.618852,Europe,66,68,69,69,70,71,71,72,74,75,77,78,4215,5862,7402,9405,12383,15277,17867,18679,14215,17161,20660,25768
No,Somalia,4.20216,1.50395,No,No,Africa,C3,0.663607,Africa,33,35,37,39,41,42,43,45,40,44,46,48,1136,1258,1369,1285,1255,1451,1177,1093,927,931,882,926
No,South Africa,0.531451,1.51283,No,No,Africa,C1,0.490013,Africa,45,48,50,52,54,56,58,61,62,60,53,49,4725,5487,5769,7114,7766,8029,8568,7826,7225,7479,7711,9270
No,Spain,-3.87375,-0.948303,No,No,Europe,C6,0.644479,Europe,65,67,70,71,73,74,76,77,78,79,80,81,3834,4565,5694,7994,10639,13237,13926,15765,18603,20445,24835,28821
No,Sri Lanka,0.196077,-2.4866,No,No,Asia,C1,0.514156,Asia,58,61,62,64,65,66,69,69,70,70,71,72,1084,1073,1074,1136,1213,1349,1648,1877,2154,2664,3015,3970
No,Sudan,2.87888,0.461084,No,No,Africa,C5,0.529872,Africa,39,40,41,43,45,48,50,52,54,55,56,59,1616,1770,1960,1688,1660,2203,1896,1508,1492,1632,1993,2602
No,Swaziland,2.30018,1.43308,No,No,Africa,C5,0.541997,Africa,41,43,45,47,50,53,56,58,58,54,44,40,1148,1245,1856,2613,3365,3781,3895,3985,3553,3877,4128,4513
No,Sweden,-5.79763,0.778783,No,No,Europe,C2,0.607516,Europe,72,72,73,74,75,75,76,77,78,79,80,81,8528,9912,12329,15258,17832,18856,20667,23587,23880,25267,29342,33860
No,Switzerland,-7.79473,3.52715,No,No,Europe,C2,0.619079,Europe,70,71,71,73,74,75,76,77,78,79,81,82,14734,17909,20431,22966,27195,26982,28398,30282,31872,32135,34481,37506
No,Syria,0.695793,-1.52537,No,No,Asia,C1,0.611846,Asia,46,48,50,54,57,61,65,67,69,72,73,74,1643,2117,2193,1882,2571,3195,3762,3117,3341,4014,4091,4185
No,Taiwan,-2.14169,-2.48995,No,No,Asia,C4,0.522789,Asia,59,62,65,68,69,71,72,73,74,75,77,78,1207,1508,1823,2644,4063,5597,7426,11055,15216,20207,23235,28718
No,Tanzania,3.15188,0.722552,No,No,Africa,C3,0.535966,Africa,41,43,44,46,48,50,51,52,50,48,50,53,717,699,722,848,916,962,874,832,826,789,899,1107
No,Thailand,0.636801,-1.75743,No,No,Asia,C1,0.594869,Asia,51,54,56,58,60,62,65,66,67,68,69,71,758,794,1002,1295,1524,1961,2393,2983,4617,5853,5913,7458
No,Togo,2.53096,-0.0129128,No,No,Africa,C5,0.621945,Africa,39,41,44,47,50,53,55,57,58,58,58,58,860,926,1068,1478,1650,1533,1345,1202,1034,982,886,883
No,Trinidad and Tobago,-1.43692,-0.731147,No,No,Americas,C4,0.624603,Americas,59,62,65,65,66,68,69,70,70,69,69,70,3023,4100,4998,5621,6620,7900,9120,7389,7371,8793,11461,18009
No,Tunisia,0.726183,-1.16254,No,No,Africa,C1,0.59473,Africa,45,47,50,52,56,60,64,67,70,72,73,74,1468,1395,1660,1932,2753,3121,3560,3810,4333,4877,5723,7093
No,Turkey,0.500385,-0.723482,No,No,Europe,C1,0.593468,Europe,44,48,52,54,57,60,61,63,66,69,71,72,1969,2219,2323,2826,3451,4269,4241,5089,5678,6601,6508,8458
No,Uganda,3.16045,0.959405,No,No,Africa,C3,0.550156,Africa,40,43,45,48,51,50,50,52,49,45,48,52,735,774,767,909,951,844,682,618,644,817,928,1056
No,United Kingdom,-5.33247,1.29732,No,No,Europe,C2,0.603764,Europe,69,70,71,71,72,73,74,75,76,77,78,79,9980,11283,12477,14143,15895,17429,18232,21665,22705,26075,29479,33203
No,United States,-6.96618,3.06979,No,No,Americas,C2,0.628535,Americas,68,69,70,71,71,73,75,75,76,77,77,78,13990,14847,16173,19530,21806,24073,25010,29884,32004,35767,39097,42952
No,Uruguay,-2.04467,-1.62205,No,No,Americas,C4,0.642545,Americas,66,67,68,68,69,69,71,72,73,74,75,76,5717,6151,5603,5445,5703,6504,6920,7452,8137,9230,7727,10611
No,Venezuela,-2.25572,0.890158,No,No,Americas,C4,0.581052,Americas,55,58,61,63,66,67,69,70,71,72,73,74,7690,9802,8423,9541,10505,13144,11152,9884,10734,10165,8605,11416
No,Vietnam,1.8282,-1.76631,No,No,Asia,C1,0.491562,Asia,40,43,45,48,50,56,59,63,68,71,73,74,605,676,772,637,700,714,707,821,989,1386,1764,2442
No,West Bank and Gaza,0.676504,-1.28511,No,No,Asia,C1,0.60784,Asia,43,46,48,52,57,61,64,67,70,71,72,73,1516,1827,2199,2650,3133,3683,4336,5107,6018,7111,4515,3025
No,"Yemen, Rep.",3.56168,-0.554679,No,No,Asia,C5,0.524112,Asia,33,34,35,37,40,44,49,53,56,58,60,63,782,805,826,862,1265,1830,1978,1972,1879,2117,2235,2281
No,Zambia,3.163,1.87452,No,No,Africa,C3,0.576218,Africa,42,44,46,48,50,51,52,51,46,40,39,42,1147,1312,1453,1777,1773,1589,1409,1213,1211,1071,1072,1271
No,Zimbabwe,3.06272,-1.56329,No,No,Africa,C5,0.559314,Africa,48,50,52,54,56,58,60,62,60,47,40,43,407,519,527,570,799,686,789,706,693,792,672,470